CENSUS_TRACT_GEOID,COUNTY,STATE,tract_fips,poverty_2020,poverty_2022,poverty_change_20_22,income_2020,income_2022,income_change_20_22,unemployment_2020,unemployment_2022,unemployment_change_20_22,education_2020,education_2022,education_change_20_22,housing_burden_2020,housing_burden_2022,housing_burden_change_20_22,no_vehicle_2020,no_vehicle_2022,no_vehicle_change_20_22,food_access_population_2020,food_access_population_2022,food_access_population_change_20_22,uninsured_2020,uninsured_2022,uninsured_change_20_22,disability_2020,disability_2022,disability_change_20_22,broadband_2020,broadband_2022,broadband_change_20_22
6001401600,Alameda County,California,6001401600,19.2,16.2,-3.0,52463.0,88304,35841.0,12.0,9.1,-2.9,34.3,43.1,8.8,44.0,35.2,-8.8,19.5,11.0,-8.5,0.57,0.0,-0.57,12.5,4.7,-7.8,12.2,8.7,-3.5,75.4,86.9,11.5
6001401700,Alameda County,California,6001401700,16.3,16.8,0.5,124007.0,145833,21826.0,6.8,3.9,-2.9,55.0,60.8,5.8,19.0,15.2,-3.8,10.9,4.3,-6.6,59.45,60.65,1.2,12.0,8.9,-3.1,5.4,4.5,-0.9,91.9,97.4,5.5
6001401800,Alameda County,California,6001401800,11.2,15.3,4.1,72128.0,72401,273.0,5.1,1.9,-3.2,49.4,51.8,2.4,17.6,34.5,16.9,19.5,27.7,8.2,98.06,98.18,0.12,9.8,9.0,-0.8,10.9,9.2,-1.7,87.2,92.2,5.0
6001402400,Alameda County,California,6001402400,18.9,20.0,1.1,28114.0,31279,3165.0,8.5,10.6,2.1,37.6,25.9,-11.7,57.0,51.9,-5.1,40.0,38.2,-1.8,64.72,58.07,-6.65,11.7,5.5,-6.2,14.3,17.3,3.0,75.1,80.1,5.0
6001402500,Alameda County,California,6001402500,29.9,27.6,-2.3,31128.0,34250,3122.0,12.6,19.5,6.9,21.4,21.6,0.2,45.0,38.9,-6.1,44.2,36.2,-8.0,99.9,100.0,0.1,4.5,3.7,-0.8,15.7,12.9,-2.8,84.8,85.6,0.8
6001402600,Alameda County,California,6001402600,23.6,18.0,-5.6,34375.0,45560,11185.0,4.4,8.0,3.6,33.7,36.4,2.7,45.5,42.0,-3.5,36.5,30.4,-6.1,77.47,80.92,3.45,8.8,4.0,-4.8,24.1,24.2,0.1,71.7,79.2,7.5
6001402900,Alameda County,California,6001402900,25.3,25.1,-0.2,30599.0,37973,7374.0,5.9,6.9,1.0,48.3,50.4,2.1,42.6,37.1,-5.5,60.3,58.8,-1.5,89.21,30.03,-59.18,3.2,4.8,1.6,24.9,21.0,-3.9,74.2,78.2,4.0
6001403100,Alameda County,California,6001403100,15.8,16.2,0.4,120227.0,136071,15844.0,10.3,9.2,-1.1,58.5,61.9,3.4,23.1,21.3,-1.8,29.0,36.8,7.8,5.9,0.16,-5.74,5.4,4.1,-1.3,8.1,12.6,4.5,85.4,85.5,0.1
6001403302,Alameda County,California,6001403302,6.2,1.4,-4.8,148025.0,148235,210.0,0.0,0.6,0.6,86.0,75.2,-10.8,29.0,13.9,-15.1,12.8,16.3,3.5,47.57,42.11,-5.46,4.2,2.1,-2.1,4.9,2.1,-2.8,96.9,98.8,1.9
6001403401,Alameda County,California,6001403401,22.6,18.0,-4.6,74391.0,69984,-4407.0,5.0,6.3,1.3,61.6,64.7,3.1,39.0,39.0,0.0,34.5,39.0,4.5,20.53,48.67,28.14,1.8,2.9,1.1,17.4,15.6,-1.8,87.1,91.2,4.1
6001403501,Alameda County,California,6001403501,14.1,16.4,2.3,57132.0,104167,47035.0,5.3,5.5,0.2,64.0,66.8,2.8,44.2,33.2,-11.0,34.5,27.6,-6.9,59.83,14.31,-45.52,4.7,4.3,-0.4,14.6,13.9,-0.7,88.5,93.9,5.4
6001403502,Alameda County,California,6001403502,9.2,10.1,0.9,79926.0,108478,28552.0,2.9,2.8,-0.1,70.3,69.1,-1.2,30.6,32.2,1.6,15.0,16.2,1.2,43.13,45.94,2.81,5.8,2.8,-3.0,8.4,13.4,5.0,93.0,94.7,1.7
6001403600,Alameda County,California,6001403600,13.0,11.8,-1.2,80421.0,99925,19504.0,4.7,4.7,0.0,60.7,67.3,6.6,29.6,24.8,-4.8,11.9,12.2,0.3,12.99,98.6,85.61,4.6,1.6,-3.0,7.3,10.5,3.2,86.2,90.7,4.5
6001403702,Alameda County,California,6001403702,8.9,8.4,-0.5,101375.0,115156,13781.0,3.3,6.1,2.8,67.4,71.3,3.9,23.4,17.7,-5.7,16.9,17.0,0.1,51.43,100.0,48.57,1.0,0.0,-1.0,6.4,6.8,0.4,93.1,95.0,1.9
6001403800,Alameda County,California,6001403800,3.7,5.7,2.0,128782.0,154524,25742.0,1.2,4.3,3.1,77.8,74.9,-2.9,22.2,22.6,0.4,7.4,10.1,2.7,21.11,12.84,-8.27,1.7,2.0,0.3,8.3,8.4,0.1,95.0,96.5,1.5
6001403900,Alameda County,California,6001403900,6.9,8.9,2.0,112807.0,126075,13268.0,4.3,4.2,-0.1,72.5,75.0,2.5,25.2,25.8,0.6,2.2,9.1,6.9,100.0,55.71,-44.29,2.0,5.3,3.3,9.8,11.4,1.6,96.1,96.2,0.1
6001404000,Alameda County,California,6001404000,10.0,10.9,0.9,85489.0,98214,12725.0,2.8,3.7,0.9,70.2,74.6,4.4,31.1,34.0,2.9,9.1,10.7,1.6,99.21,9.55,-89.66,3.4,4.5,1.1,9.8,7.5,-2.3,96.7,98.8,2.1
6001404101,Alameda County,California,6001404101,5.0,4.3,-0.7,101548.0,128711,27163.0,3.0,2.0,-1.0,80.9,78.9,-2.0,25.4,22.6,-2.8,17.2,14.1,-3.1,4.21,3.43,-0.78,1.4,0.5,-0.9,11.4,10.8,-0.6,95.0,96.9,1.9
6001404102,Alameda County,California,6001404102,9.2,10.1,0.9,83850.0,98472,14622.0,1.5,2.8,1.3,66.6,71.5,4.9,35.1,28.4,-6.7,30.3,29.5,-0.8,90.1,31.54,-58.56,2.1,1.3,-0.8,17.7,20.5,2.8,78.8,84.2,5.4
6001404200,Alameda County,California,6001404200,5.0,2.9,-2.1,188194.0,247619,59425.0,8.3,6.5,-1.8,81.4,85.4,4.0,10.9,8.3,-2.6,1.7,1.8,0.1,57.5,56.28,-1.22,1.8,1.2,-0.6,8.2,9.9,1.7,98.4,99.4,1.0
6001404300,Alameda County,California,6001404300,4.4,3.5,-0.9,212500.0,227237,14737.0,6.4,4.2,-2.2,85.4,87.1,1.7,10.4,16.0,5.6,4.6,3.0,-1.6,6.43,9.93,3.5,0.3,0.7,0.4,5.2,4.7,-0.5,98.8,98.5,-0.3
6001404400,Alameda County,California,6001404400,3.3,2.2,-1.1,150040.0,184737,34697.0,1.7,2.1,0.4,81.4,81.2,-0.2,14.2,15.7,1.5,2.9,2.9,0.0,93.25,90.51,-2.74,0.2,0.7,0.5,6.6,5.9,-0.7,91.5,90.8,-0.7
6001404501,Alameda County,California,6001404501,1.9,1.3,-0.6,203542.0,232112,28570.0,0.6,1.0,0.4,81.3,82.7,1.4,9.0,8.5,-0.5,0.6,3.4,2.8,20.01,17.75,-2.26,1.8,0.3,-1.5,7.0,3.1,-3.9,96.2,98.7,2.5
6001404600,Alameda County,California,6001404600,3.4,6.2,2.8,176800.0,222617,45817.0,6.8,5.6,-1.2,78.5,80.0,1.5,7.4,10.3,2.9,0.6,3.7,3.1,94.09,95.88,1.79,3.5,1.2,-2.3,7.9,8.6,0.7,98.9,99.5,0.6
6001404700,Alameda County,California,6001404700,1.6,3.2,1.6,191027.0,250001,58974.0,4.6,4.4,-0.2,79.6,83.9,4.3,9.1,7.3,-1.8,0.0,0.0,0.0,98.09,100.0,1.91,1.9,2.1,0.2,10.2,10.2,0.0,98.3,99.4,1.1
6001404800,Alameda County,California,6001404800,4.4,11.0,6.6,115474.0,114083,-1391.0,6.0,7.4,1.4,68.3,66.1,-2.2,24.5,19.8,-4.7,9.1,22.3,13.2,33.67,32.2,-1.47,1.4,3.6,2.2,12.4,16.1,3.7,91.5,89.2,-2.3
6001405000,Alameda County,California,6001405000,3.5,4.2,0.7,133050.0,152857,19807.0,6.3,5.3,-1.0,77.0,75.6,-1.4,19.7,17.6,-2.1,5.6,5.0,-0.6,90.54,85.79,-4.75,0.4,0.2,-0.2,8.3,5.9,-2.4,95.0,96.5,1.5
6001405100,Alameda County,California,6001405100,4.1,5.0,0.9,211439.0,250001,38562.0,1.0,0.3,-0.7,84.4,84.8,0.4,5.9,6.5,0.6,1.1,1.0,-0.1,76.56,77.24,0.68,0.3,0.6,0.3,5.2,6.5,1.3,97.3,97.1,-0.2
6001405200,Alameda County,California,6001405200,6.1,7.5,1.4,83551.0,105222,21671.0,3.8,1.9,-1.9,61.7,65.1,3.4,28.8,18.9,-9.9,9.8,14.0,4.2,2.71,0.13,-2.58,3.7,3.7,0.0,8.3,11.7,3.4,93.3,90.0,-3.3
6001405301,Alameda County,California,6001405301,13.5,13.4,-0.1,105112.0,112656,7544.0,3.2,2.5,-0.7,71.3,74.9,3.6,31.7,26.7,-5.0,13.1,18.6,5.5,83.01,54.95,-28.06,5.1,6.2,1.1,6.5,8.0,1.5,91.8,91.3,-0.5
6001405402,Alameda County,California,6001405402,14.1,19.4,5.3,52136.0,61204,9068.0,7.3,4.2,-3.1,27.4,33.4,6.0,42.9,44.2,1.3,20.6,17.0,-3.6,2.97,5.08,2.11,5.2,8.3,3.1,9.3,12.6,3.3,84.1,88.4,4.3
6001405600,Alameda County,California,6001405600,9.5,17.5,8.0,70909.0,80669,9760.0,7.0,4.3,-2.7,57.6,62.2,4.6,32.2,37.9,5.7,17.8,19.6,1.8,96.8,100.0,3.2,9.5,9.3,-0.2,14.0,14.9,0.9,89.0,90.8,1.8
6001405700,Alameda County,California,6001405700,16.5,18.5,2.0,64938.0,74547,9609.0,5.2,5.2,0.0,28.6,33.0,4.4,30.4,28.2,-2.2,10.1,9.4,-0.7,94.91,89.14,-5.77,8.9,12.3,3.4,5.4,5.7,0.3,92.6,94.4,1.8
6001405800,Alameda County,California,6001405800,20.4,21.0,0.6,51851.0,67222,15371.0,7.6,6.7,-0.9,26.6,27.1,0.5,35.2,41.5,6.3,12.3,7.8,-4.5,93.76,99.78,6.02,16.1,10.6,-5.5,11.3,10.9,-0.4,89.5,88.7,-0.8
6001405901,Alameda County,California,6001405901,23.6,19.1,-4.5,48846.0,51292,2446.0,9.7,10.1,0.4,12.3,19.2,6.9,41.4,44.0,2.6,17.9,16.9,-1.0,84.94,92.49,7.55,7.1,6.0,-1.1,11.8,10.5,-1.3,79.5,85.9,6.4
6001405902,Alameda County,California,6001405902,20.1,19.0,-1.1,55192.0,69097,13905.0,12.2,10.1,-2.1,27.2,24.5,-2.7,43.7,39.3,-4.4,13.3,13.4,0.1,51.47,60.33,8.86,8.7,9.8,1.1,15.2,12.6,-2.6,79.3,86.3,7.0
6001406000,Alameda County,California,6001406000,15.0,12.7,-2.3,47015.0,56763,9748.0,10.7,4.9,-5.8,27.2,33.7,6.5,38.8,34.7,-4.1,24.0,24.1,0.1,2.85,6.13,3.28,5.7,6.5,0.8,20.5,13.3,-7.2,76.5,86.6,10.1
6001406202,Alameda County,California,6001406202,28.6,17.2,-11.4,48000.0,55000,7000.0,2.4,4.6,2.2,21.1,18.9,-2.2,42.5,46.1,3.6,16.3,27.6,11.3,94.77,6.43,-88.34,20.2,12.1,-8.1,12.9,14.8,1.9,75.4,77.5,2.1
6001406300,Alameda County,California,6001406300,35.7,20.6,-15.1,44962.0,62837,17875.0,7.6,3.6,-4.0,16.3,23.8,7.5,47.2,46.6,-0.6,10.9,7.0,-3.9,74.36,92.18,17.82,5.5,4.7,-0.8,12.6,9.2,-3.4,77.2,83.9,6.7
6001406500,Alameda County,California,6001406500,21.3,15.8,-5.5,49297.0,67717,18420.0,6.2,8.2,2.0,18.2,20.4,2.2,52.0,40.8,-11.2,14.3,11.8,-2.5,65.47,64.23,-1.24,5.5,6.2,0.7,10.9,9.0,-1.9,85.3,86.0,0.7
6001406601,Alameda County,California,6001406601,10.5,8.0,-2.5,58285.0,75000,16715.0,8.1,13.6,5.5,29.2,34.2,5.0,41.0,35.9,-5.1,4.8,2.5,-2.3,53.08,62.47,9.39,9.8,11.2,1.4,14.2,15.8,1.6,91.0,91.9,0.9
6001406602,Alameda County,California,6001406602,11.6,11.7,0.1,49232.0,58869,9637.0,7.6,12.1,4.5,32.6,31.9,-0.7,45.1,41.7,-3.4,16.2,16.1,-0.1,22.35,23.15,0.8,8.0,6.4,-1.6,10.1,9.3,-0.8,85.3,89.1,3.8
6001406700,Alameda County,California,6001406700,2.9,3.4,0.5,112838.0,143887,31049.0,2.6,3.3,0.7,57.9,64.2,6.3,19.7,17.5,-2.2,3.0,4.2,1.2,48.91,53.51,4.6,2.4,3.8,1.4,13.0,12.6,-0.4,90.6,94.5,3.9
6001406800,Alameda County,California,6001406800,5.0,5.3,0.3,107614.0,131161,23547.0,4.3,11.3,7.0,55.0,64.8,9.8,15.1,12.4,-2.7,4.2,2.2,-2.0,0.0,0.0,0.0,0.7,0.6,-0.1,9.8,9.3,-0.5,92.6,91.6,-1.0
6001406900,Alameda County,California,6001406900,9.0,7.8,-1.2,109818.0,137943,28125.0,7.5,7.1,-0.4,60.1,70.1,10.0,20.6,17.7,-2.9,5.4,5.8,0.4,15.46,19.17,3.71,3.5,4.7,1.2,8.4,7.2,-1.2,93.8,94.5,0.7
6001407000,Alameda County,California,6001407000,11.2,7.5,-3.7,67000.0,89755,22755.0,4.9,3.6,-1.3,26.3,33.4,7.1,35.6,26.0,-9.6,17.5,10.4,-7.1,72.26,71.81,-0.45,13.9,9.6,-4.3,6.9,8.7,1.8,82.6,89.6,7.0
6001407101,Alameda County,California,6001407101,29.3,25.9,-3.4,44201.0,48281,4080.0,8.2,13.4,5.2,15.1,20.0,4.9,56.9,51.8,-5.1,10.1,11.4,1.3,7.02,9.4,2.38,16.4,13.0,-3.4,6.6,8.2,1.6,72.5,76.0,3.5
6001407200,Alameda County,California,6001407200,25.9,23.0,-2.9,51392.0,59937,8545.0,9.7,6.4,-3.3,18.6,23.2,4.6,43.0,44.5,1.5,22.7,15.1,-7.6,86.94,8.73,-78.21,11.4,8.8,-2.6,9.3,8.0,-1.3,68.4,77.7,9.3
6001407400,Alameda County,California,6001407400,23.0,22.1,-0.9,58029.0,57961,-68.0,11.0,7.5,-3.5,19.8,20.6,0.8,42.1,41.5,-0.6,12.0,15.6,3.6,97.12,58.08,-39.04,9.3,10.7,1.4,16.3,15.2,-1.1,76.5,76.4,-0.1
6001407600,Alameda County,California,6001407600,10.5,10.2,-0.3,81903.0,86761,4858.0,4.4,3.2,-1.2,33.8,33.7,-0.1,35.7,37.2,1.5,4.2,3.6,-0.6,61.21,62.55,1.34,10.7,17.1,6.4,15.3,13.0,-2.3,94.6,94.8,0.2
6001407800,Alameda County,California,6001407800,11.0,15.5,4.5,95804.0,113438,17634.0,8.0,5.4,-2.6,55.4,60.0,4.6,33.9,33.5,-0.4,3.1,7.1,4.0,97.73,100.0,2.27,2.9,4.6,1.7,9.4,9.5,0.1,85.2,89.5,4.3
6001408100,Alameda County,California,6001408100,3.2,5.0,1.8,136625.0,166786,30161.0,7.4,6.8,-0.6,67.9,69.1,1.2,17.3,13.7,-3.6,1.1,0.4,-0.7,100.0,97.58,-2.42,0.6,2.6,2.0,9.0,7.4,-1.6,95.8,96.6,0.8
6001408200,Alameda County,California,6001408200,13.8,11.8,-2.0,69799.0,79821,10022.0,6.0,3.3,-2.7,43.3,44.1,0.8,33.0,28.6,-4.4,13.6,16.9,3.3,47.36,43.33,-4.03,7.0,5.9,-1.1,10.7,6.8,-3.9,85.5,87.5,2.0
6001408300,Alameda County,California,6001408300,10.6,13.6,3.0,105160.0,129295,24135.0,12.6,6.6,-6.0,41.9,47.1,5.2,29.9,25.3,-4.6,6.8,5.3,-1.5,83.45,87.65,4.2,9.6,7.7,-1.9,10.9,12.3,1.4,86.0,87.2,1.2
6001408400,Alameda County,California,6001408400,12.0,10.9,-1.1,59875.0,63994,4119.0,7.0,5.4,-1.6,21.0,20.8,-0.2,44.6,49.1,4.5,20.4,16.7,-3.7,15.36,5.26,-10.1,6.7,9.8,3.1,14.5,22.0,7.5,67.5,74.3,6.8
6001408500,Alameda County,California,6001408500,13.9,12.5,-1.4,58268.0,61750,3482.0,8.5,7.0,-1.5,10.4,16.6,6.2,44.2,34.6,-9.6,17.9,15.2,-2.7,14.5,13.43,-1.07,15.0,8.7,-6.3,9.2,10.1,0.9,67.4,75.5,8.1
6001408600,Alameda County,California,6001408600,22.3,16.0,-6.3,53226.0,80114,26888.0,5.6,4.5,-1.1,22.2,24.7,2.5,45.9,36.7,-9.2,9.5,3.8,-5.7,94.23,76.22,-18.01,17.4,9.8,-7.6,8.2,8.9,0.7,85.1,87.7,2.6
6001408800,Alameda County,California,6001408800,27.8,20.8,-7.0,29024.0,44100,15076.0,7.4,7.1,-0.3,5.9,7.6,1.7,54.0,49.4,-4.6,26.9,26.5,-0.4,41.19,38.23,-2.96,8.4,9.1,0.7,13.1,10.7,-2.4,71.3,76.1,4.8
6001408900,Alameda County,California,6001408900,20.7,28.6,7.9,44453.0,44077,-376.0,7.4,14.2,6.8,9.4,9.5,0.1,49.0,48.2,-0.8,20.7,13.5,-7.2,8.68,0.0,-8.68,19.4,19.2,-0.2,13.7,11.0,-2.7,63.8,71.1,7.3
6001409000,Alameda County,California,6001409000,15.6,15.4,-0.2,53580.0,70769,17189.0,7.4,4.5,-2.9,15.0,15.1,0.1,41.1,34.8,-6.3,3.3,6.3,3.0,100.0,100.0,0.0,10.6,9.9,-0.7,11.7,14.6,2.9,84.1,84.7,0.6
6001409200,Alameda County,California,6001409200,11.0,5.9,-5.1,57740.0,73621,15881.0,3.5,4.4,0.9,15.1,18.2,3.1,54.9,41.5,-13.4,8.3,7.8,-0.5,100.0,100.0,0.0,7.5,10.9,3.4,8.5,9.2,0.7,85.8,80.7,-5.1
6001409300,Alameda County,California,6001409300,24.3,19.2,-5.1,46864.0,56058,9194.0,7.8,5.1,-2.7,12.4,16.0,3.6,53.6,42.9,-10.7,9.6,11.2,1.6,11.99,17.68,5.69,8.8,6.3,-2.5,13.5,7.4,-6.1,74.6,81.5,6.9
6001409400,Alameda County,California,6001409400,31.9,16.5,-15.4,41628.0,66602,24974.0,2.1,5.5,3.4,9.9,13.3,3.4,47.7,42.4,-5.3,9.0,5.9,-3.1,7.72,0.17,-7.55,16.8,5.5,-11.3,11.2,12.5,1.3,75.0,78.6,3.6
6001409500,Alameda County,California,6001409500,31.0,26.2,-4.8,44150.0,54000,9850.0,7.1,9.7,2.6,12.1,10.8,-1.3,54.6,53.3,-1.3,17.3,12.1,-5.2,7.06,3.08,-3.98,12.3,6.7,-5.6,12.1,13.7,1.6,71.3,72.4,1.1
6001409600,Alameda County,California,6001409600,15.8,13.7,-2.1,50403.0,54012,3609.0,10.0,9.1,-0.9,14.9,14.0,-0.9,50.1,52.4,2.3,13.4,9.0,-4.4,7.66,10.82,3.16,15.3,8.5,-6.8,12.7,9.9,-2.8,69.5,80.2,10.7
6001409700,Alameda County,California,6001409700,26.7,28.7,2.0,42285.0,47161,4876.0,5.9,7.7,1.8,16.9,17.6,0.7,59.1,60.4,1.3,24.2,20.8,-3.4,100.0,94.03,-5.97,11.3,6.8,-4.5,12.5,13.3,0.8,73.1,76.9,3.8
6001409800,Alameda County,California,6001409800,13.5,10.4,-3.1,98388.0,106023,7635.0,6.7,6.8,0.1,41.4,40.7,-0.7,28.7,30.8,2.1,15.9,14.7,-1.2,100.0,100.0,0.0,5.1,4.0,-1.1,12.3,9.1,-3.2,84.3,87.8,3.5
6001409900,Alameda County,California,6001409900,8.0,3.8,-4.2,139850.0,176141,36291.0,3.1,3.4,0.3,55.7,60.7,5.0,15.0,14.6,-0.4,1.1,1.3,0.2,96.19,100.0,3.81,1.2,3.1,1.9,9.5,8.0,-1.5,95.7,97.5,1.8
6001410200,Alameda County,California,6001410200,17.2,8.2,-9.0,63844.0,75106,11262.0,1.2,3.1,1.9,20.5,25.0,4.5,42.9,28.2,-14.7,9.4,9.7,0.3,32.44,38.33,5.89,5.4,4.4,-1.0,9.3,9.3,0.0,87.6,89.4,1.8
6001410300,Alameda County,California,6001410300,17.9,16.1,-1.8,51250.0,54698,3448.0,11.3,9.6,-1.7,12.7,12.6,-0.1,48.0,47.3,-0.7,8.4,9.3,0.9,7.73,7.91,0.18,10.4,13.2,2.8,7.0,6.7,-0.3,84.2,89.7,5.5
6001410400,Alameda County,California,6001410400,9.0,7.4,-1.6,78750.0,82188,3438.0,7.7,3.3,-4.4,24.5,26.2,1.7,28.5,31.8,3.3,14.1,15.4,1.3,96.11,74.29,-21.82,6.5,8.3,1.8,11.8,12.8,1.0,86.2,87.2,1.0
6001410500,Alameda County,California,6001410500,35.0,32.7,-2.3,33344.0,46031,12687.0,14.6,11.2,-3.4,24.6,31.6,7.0,45.7,49.6,3.9,32.3,23.6,-8.7,95.19,94.82,-0.37,1.9,1.4,-0.5,15.3,17.3,2.0,76.8,85.0,8.2
6001420100,Alameda County,California,6001420100,2.3,3.5,1.2,158068.0,188125,30057.0,2.6,4.1,1.5,79.3,75.7,-3.6,13.2,13.6,0.4,5.3,5.6,0.3,1.6,0.0,-1.6,0.9,2.3,1.4,7.1,5.5,-1.6,97.4,98.3,0.9
6001420200,Alameda County,California,6001420200,7.9,6.0,-1.9,97118.0,140508,43390.0,1.4,2.6,1.2,63.1,66.3,3.2,22.6,14.5,-8.1,8.1,7.1,-1.0,15.09,100.0,84.91,5.7,5.8,0.1,3.5,4.5,1.0,94.3,95.9,1.6
6001420301,Alameda County,California,6001420301,4.8,4.1,-0.7,108056.0,113188,5132.0,4.3,2.6,-1.7,76.8,78.2,1.4,22.1,20.1,-2.0,5.8,5.3,-0.5,100.0,37.25,-62.75,1.2,3.1,1.9,4.5,3.5,-1.0,90.9,91.7,0.8
6001420302,Alameda County,California,6001420302,5.7,3.8,-1.9,84728.0,121538,36810.0,2.8,2.0,-0.8,66.4,71.6,5.2,31.8,22.8,-9.0,5.6,11.3,5.7,98.35,31.92,-66.43,4.1,2.7,-1.4,2.7,6.4,3.7,95.2,94.5,-0.7
6001420600,Alameda County,California,6001420600,3.6,6.2,2.6,172813.0,169868,-2945.0,2.9,4.2,1.3,81.6,82.2,0.6,15.5,22.8,7.3,3.5,2.3,-1.2,55.46,21.57,-33.89,1.1,1.5,0.4,8.1,5.8,-2.3,96.9,97.1,0.2
6001421100,Alameda County,California,6001421100,2.5,4.1,1.6,206199.0,234243,28044.0,6.2,6.3,0.1,86.7,89.4,2.7,14.4,11.1,-3.3,1.4,3.6,2.2,100.0,100.0,0.0,1.7,3.1,1.4,8.2,8.0,-0.2,98.2,98.2,0.0
6001421500,Alameda County,California,6001421500,3.3,5.8,2.5,190484.0,201950,11466.0,5.0,5.4,0.4,82.6,80.6,-2.0,9.2,13.0,3.8,3.0,2.0,-1.0,96.74,94.77,-1.97,1.7,1.6,-0.1,7.5,8.7,1.2,97.3,97.7,0.4
6001421600,Alameda County,California,6001421600,8.1,8.8,0.7,186563.0,218390,31827.0,2.6,4.6,2.0,88.2,90.1,1.9,11.9,14.5,2.6,1.4,3.5,2.1,68.22,69.64,1.42,0.9,0.2,-0.7,9.2,10.3,1.1,96.9,98.0,1.1
