state_abbreviation,state_county_fips,county_name,tract_fips,tract_id,social_vulnerability_index,poverty_rate,median_household_income,uninsured_rate,housing_cost_burden,no_vehicle_rate,low_access_households_no_vehicle,low_access_population_rate,disability_rate,unemployment_rate,no_internet_access_rate,limited_english_rate
CA,6001,Alameda County,6001403401,6001403401,0.6754,18.0,69984.0,2.9,39.0,39.0,6.46,48.67,15.6,6.3,8.8,9.2
CA,6001,Alameda County,6001403402,6001403402,0.3924,0.0,89021.0,15.5,37.4,38.4,2.01,100.0,9.5,4.9,12.9,3.1
CA,6001,Alameda County,6001403501,6001403501,0.5479,16.4,104167.0,4.3,33.2,27.6,4.9,14.31,13.9,5.5,6.1,6.6
CA,6001,Alameda County,6001403502,6001403502,0.3668,10.1,108478.0,2.8,32.2,16.2,1.81,45.94,13.4,2.8,5.3,0.3
CA,6001,Alameda County,6001403600,6001403600,0.2993,11.8,99925.0,1.6,24.8,12.2,2.96,98.6,10.5,4.7,9.3,2.3
CA,6001,Alameda County,6001403701,6001403701,0.441,17.7,84063.0,1.1,31.6,25.9,0.0,44.23,18.5,2.1,11.8,0.4
CA,6001,Alameda County,6001403702,6001403702,0.242,8.4,115156.0,0.0,17.7,17.0,2.11,100.0,6.8,6.1,5.0,1.9
CA,6001,Alameda County,6001403800,6001403800,0.1931,5.7,154524.0,2.0,22.6,10.1,4.58,12.84,8.4,4.3,3.0,0.2
CA,6001,Alameda County,6001403900,6001403900,0.4035,8.9,126075.0,5.3,25.8,9.1,2.71,55.71,11.4,4.2,3.8,1.0
CA,6001,Alameda County,6001404000,6001404000,0.1841,10.9,98214.0,4.5,34.0,10.7,2.97,9.55,7.5,3.7,1.2,0.0
CA,6001,Alameda County,6001404101,6001404101,0.1493,4.3,128711.0,0.5,22.6,14.1,0.0,3.43,10.8,2.0,3.1,0.0
CA,6001,Alameda County,6001404102,6001404102,0.4581,10.1,98472.0,1.3,28.4,29.5,0.0,31.54,20.5,2.8,15.8,3.3
CA,6001,Alameda County,6001404200,6001404200,0.1767,2.9,247619.0,1.2,8.3,1.8,2.15,56.28,9.9,6.5,0.6,0.8
CA,6001,Alameda County,6001404300,6001404300,0.0174,3.5,227237.0,0.7,16.0,3.0,1.65,9.93,4.7,4.2,1.5,0.0
CA,6001,Alameda County,6001404400,6001404400,0.0303,2.2,184737.0,0.7,15.7,2.9,0.0,90.51,5.9,2.1,8.3,1.8
CA,6001,Alameda County,6001404501,6001404501,0.0107,1.3,232112.0,0.3,8.5,3.4,0.0,17.75,3.1,1.0,1.3,1.2
CA,6001,Alameda County,6001404502,6001404502,0.0123,1.5,227361.0,0.8,11.5,1.2,0.0,59.45,5.8,3.3,1.2,3.4
CA,6001,Alameda County,6001404600,6001404600,0.1351,6.2,222617.0,1.2,10.3,3.7,0.0,95.88,8.6,5.6,0.5,0.3
CA,6001,Alameda County,6001404700,6001404700,0.0039,3.2,250001.0,2.1,7.3,0.0,1.62,100.0,10.2,4.4,0.6,0.0
CA,6001,Alameda County,6001404800,6001404800,0.4018,11.0,114083.0,3.6,19.8,22.3,4.04,32.2,16.1,7.4,9.6,3.3
CA,6001,Alameda County,6001404900,6001404900,0.2194,2.8,151860.0,2.6,18.0,9.2,2.48,23.09,7.7,2.0,5.6,4.6
CA,6001,Alameda County,6001405000,6001405000,0.196,4.2,152857.0,0.2,17.6,5.0,5.13,85.79,5.9,5.3,3.5,3.9
CA,6001,Alameda County,6001405100,6001405100,0.0019,5.0,250001.0,0.6,6.5,1.0,2.41,77.24,6.5,0.3,2.9,0.5
CA,6001,Alameda County,6001405200,6001405200,0.3538,7.5,105222.0,3.7,18.9,14.0,0.0,0.13,11.7,1.9,9.3,7.3
CA,6001,Alameda County,6001405301,6001405301,0.3015,13.4,112656.0,6.2,26.7,18.6,5.08,54.95,8.0,2.5,8.7,3.7
CA,6001,Alameda County,6001405302,6001405302,0.5938,14.7,63709.0,6.2,40.7,30.7,2.56,45.01,19.8,4.2,14.3,18.0
CA,6001,Alameda County,6001405401,6001405401,0.7518,16.5,70231.0,5.9,45.6,26.2,3.52,34.59,14.1,7.1,11.6,13.9
CA,6001,Alameda County,6001405402,6001405402,0.8454,19.4,61204.0,8.3,44.2,17.0,0.0,5.08,12.6,4.2,11.6,22.9
CA,6001,Alameda County,6001405500,6001405500,0.5478,13.1,82222.0,5.9,30.0,19.6,5.67,61.75,10.9,5.5,8.3,14.0
CA,6001,Alameda County,6001405600,6001405600,0.5024,17.5,80669.0,9.3,37.9,19.6,17.82,100.0,14.9,4.3,9.2,5.6
CA,6001,Alameda County,6001405700,6001405700,0.6316,18.5,74547.0,12.3,28.2,9.4,16.47,89.14,5.7,5.2,4.7,17.5
CA,6001,Alameda County,6001405800,6001405800,0.7077,21.0,67222.0,10.6,41.5,7.8,8.0,99.78,10.9,6.7,11.3,23.6
CA,6001,Alameda County,6001405901,6001405901,0.8942,19.1,51292.0,6.0,44.0,16.9,14.3,92.49,10.5,10.1,14.1,15.5
CA,6001,Alameda County,6001405902,6001405902,0.7313,19.0,69097.0,9.8,39.3,13.4,14.47,60.33,12.6,10.1,13.7,19.3
CA,6001,Alameda County,6001406000,6001406000,0.8038,12.7,56763.0,6.5,34.7,24.1,0.11,6.13,13.3,4.9,12.9,18.7
CA,6001,Alameda County,6001406100,6001406100,0.7369,17.0,64879.0,6.3,50.0,12.0,2.16,50.61,7.5,7.7,16.3,10.7
CA,6001,Alameda County,6001406201,6001406201,0.9387,19.5,50417.0,13.6,53.8,18.4,11.58,20.25,10.1,6.2,14.5,21.8
CA,6001,Alameda County,6001406202,6001406202,0.9872,17.2,55000.0,12.1,46.1,27.6,2.15,6.43,14.8,4.6,22.5,22.3
CA,6001,Alameda County,6001406300,6001406300,0.8584,20.6,62837.0,4.7,46.6,7.0,18.75,92.18,9.2,3.6,16.1,17.8
CA,6001,Alameda County,6001406400,6001406400,0.802,12.9,72955.0,1.9,40.3,15.7,6.4,32.1,20.4,1.7,14.4,16.0
CA,6001,Alameda County,6001406500,6001406500,0.894,15.8,67717.0,6.2,40.8,11.8,11.71,64.23,9.0,8.2,14.0,15.9
CA,6001,Alameda County,6001406601,6001406601,0.5638,8.0,75000.0,11.2,35.9,2.5,8.58,62.47,15.8,13.6,8.1,11.9
CA,6001,Alameda County,6001406602,6001406602,0.8663,11.7,58869.0,6.4,41.7,16.1,0.0,23.15,9.3,12.1,10.9,11.6
CA,6001,Alameda County,6001406700,6001406700,0.2,3.4,143887.0,3.8,17.5,4.2,0.0,53.51,12.6,3.3,5.5,7.2
CA,6001,Alameda County,6001406800,6001406800,0.3256,5.3,131161.0,0.6,12.4,2.2,0.0,0.0,9.3,11.3,8.4,2.8
CA,6001,Alameda County,6001406900,6001406900,0.2975,7.8,137943.0,4.7,17.7,5.8,2.05,19.17,7.2,7.1,4.8,7.3
CA,6001,Alameda County,6001407000,6001407000,0.7926,7.5,89755.0,9.6,26.0,10.4,15.51,71.81,8.7,3.6,10.4,13.5
CA,6001,Alameda County,6001407101,6001407101,0.8419,25.9,48281.0,13.0,51.8,11.4,7.38,9.4,8.2,13.4,24.0,19.5
CA,6001,Alameda County,6001407102,6001407102,0.6545,17.6,70284.0,10.1,34.1,24.9,5.94,35.09,6.0,4.1,17.2,14.2
CA,6001,Alameda County,6001407200,6001407200,0.9437,23.0,59937.0,8.8,44.5,15.1,0.0,8.73,8.0,6.4,22.0,19.7
CA,6001,Alameda County,6001407300,6001407300,0.9098,15.6,77813.0,13.7,38.8,8.3,0.5,0.0,10.8,13.4,6.5,19.9
CA,6001,Alameda County,6001407400,6001407400,0.9209,22.1,57961.0,10.7,41.5,15.6,0.57,58.08,15.2,7.5,23.6,14.2
CA,6001,Alameda County,6001407500,6001407500,0.9789,31.3,46019.0,6.7,44.3,20.7,10.0,95.07,12.5,13.9,28.6,7.8
CA,6001,Alameda County,6001407600,6001407600,0.6104,10.2,86761.0,17.1,37.2,3.6,5.35,62.55,13.0,3.2,5.2,10.2
CA,6001,Alameda County,6001407700,6001407700,0.2997,3.6,116814.0,6.4,17.8,4.3,6.5,61.67,11.4,7.3,8.5,3.0
CA,6001,Alameda County,6001407800,6001407800,0.6049,15.5,113438.0,4.6,33.5,7.1,2.82,100.0,9.5,5.4,10.5,6.2
CA,6001,Alameda County,6001407900,6001407900,0.202,1.3,124523.0,4.9,20.1,0.7,1.83,85.81,6.6,1.7,2.4,2.0
CA,6001,Alameda County,6001408000,6001408000,0.2363,2.4,192159.0,0.6,11.8,5.7,0.21,25.09,17.6,8.2,8.3,0.7
CA,6001,Alameda County,6001408100,6001408100,0.0583,5.0,166786.0,2.6,13.7,0.4,0.61,97.58,7.4,6.8,3.4,2.4
CA,6001,Alameda County,6001408200,6001408200,0.4555,11.8,79821.0,5.9,28.6,16.9,1.98,43.33,6.8,3.3,12.5,5.7
CA,6001,Alameda County,6001408300,6001408300,0.3736,13.6,129295.0,7.7,25.3,5.3,0.0,87.65,12.3,6.6,11.8,2.6
CA,6001,Alameda County,6001408400,6001408400,0.9041,10.9,63994.0,9.8,49.1,16.7,3.57,5.26,22.0,5.4,25.7,13.4
CA,6001,Alameda County,6001408500,6001408500,0.8669,12.5,61750.0,8.7,34.6,15.2,0.37,13.43,10.1,7.0,24.5,17.3
CA,6001,Alameda County,6001408600,6001408600,0.6985,16.0,80114.0,9.8,36.7,3.8,3.77,76.22,8.9,4.5,12.3,9.6
CA,6001,Alameda County,6001408700,6001408700,0.8228,17.5,45500.0,7.6,51.5,9.3,3.13,11.04,8.9,7.0,12.3,11.0
CA,6001,Alameda County,6001408800,6001408800,0.9205,20.8,44100.0,9.1,49.4,26.5,18.13,38.23,10.7,7.1,23.9,11.6
CA,6001,Alameda County,6001408900,6001408900,0.9851,28.6,44077.0,19.2,48.2,13.5,6.84,0.0,11.0,14.2,27.8,7.9
CA,6001,Alameda County,6001409000,6001409000,0.8633,15.4,70769.0,9.9,34.8,6.3,7.34,100.0,14.6,4.5,15.3,7.8
CA,6001,Alameda County,6001409100,6001409100,0.6185,6.6,72204.0,5.8,41.9,24.1,24.62,100.0,18.9,0.5,16.2,12.0
CA,6001,Alameda County,6001409200,6001409200,0.7735,5.9,73621.0,10.9,41.5,7.8,5.63,100.0,9.2,4.4,19.3,20.0
CA,6001,Alameda County,6001409300,6001409300,0.7331,19.2,56058.0,6.3,42.9,11.2,0.0,17.68,7.4,5.1,18.5,10.1
CA,6001,Alameda County,6001409400,6001409400,0.7531,16.5,66602.0,5.5,42.4,5.9,1.03,0.17,12.5,5.5,21.4,11.6
CA,6001,Alameda County,6001409500,6001409500,0.9251,26.2,54000.0,6.7,53.3,12.1,1.35,3.08,13.7,9.7,27.6,16.4
CA,6001,Alameda County,6001409600,6001409600,0.7323,13.7,54012.0,8.5,52.4,9.0,3.68,10.82,9.9,9.1,19.5,14.8
CA,6001,Alameda County,6001409700,6001409700,0.9567,28.7,47161.0,6.8,60.4,20.8,17.27,94.03,13.3,7.7,23.1,6.0
CA,6001,Alameda County,6001409800,6001409800,0.4438,10.4,106023.0,4.0,30.8,14.7,21.62,100.0,9.1,6.8,12.2,1.0
CA,6001,Alameda County,6001409900,6001409900,0.1105,3.8,176141.0,3.1,14.6,1.3,0.0,100.0,8.0,3.4,2.5,1.2
CA,6001,Alameda County,6001410000,6001410000,0.0956,4.1,154648.0,0.5,21.8,3.5,3.39,84.55,14.6,5.6,11.0,1.0
CA,6001,Alameda County,6001410100,6001410100,0.7152,12.6,84135.0,1.2,33.2,8.3,10.35,53.11,13.4,5.8,11.7,5.4
CA,6001,Alameda County,6001410200,6001410200,0.5616,8.2,75106.0,4.4,28.2,9.7,8.03,38.33,9.3,3.1,10.4,5.2
CA,6001,Alameda County,6001410300,6001410300,0.7593,16.1,54698.0,13.2,47.3,9.3,0.0,7.91,6.7,9.6,10.3,16.8
CA,6001,Alameda County,6001410400,6001410400,0.7905,7.4,82188.0,8.3,31.8,15.4,3.4,74.29,12.8,3.3,12.8,12.4
CA,6001,Alameda County,6001410500,6001410500,0.7779,32.7,46031.0,1.4,49.6,23.6,29.04,94.82,17.3,11.2,15.0,3.9
CA,6001,Alameda County,6001420100,6001420100,0.1129,3.5,188125.0,2.3,13.6,5.6,0.0,0.0,5.5,4.1,1.7,2.4
CA,6001,Alameda County,6001420200,6001420200,0.2764,6.0,140508.0,5.8,14.5,7.1,6.56,100.0,4.5,2.6,3.0,3.9
CA,6001,Alameda County,6001420301,6001420301,0.1842,4.1,113188.0,3.1,20.1,5.3,0.31,37.25,3.5,2.6,8.3,4.7
CA,6001,Alameda County,6001420302,6001420302,0.1725,3.8,121538.0,2.7,22.8,11.3,3.63,31.92,6.4,2.0,5.5,2.9
CA,6001,Alameda County,6001420401,6001420401,0.7194,42.6,72708.0,3.3,49.4,28.4,0.0,18.54,10.6,0.0,68.4,11.9
CA,6001,Alameda County,6001420402,6001420402,0.5239,27.1,58835.0,7.6,47.8,18.9,2.53,100.0,5.2,4.9,56.7,3.6
CA,6001,Alameda County,6001420500,6001420500,0.3697,6.5,127000.0,3.2,22.2,8.7,0.0,38.42,7.2,4.3,5.9,2.0
CA,6001,Alameda County,6001420600,6001420600,0.1303,6.2,169868.0,1.5,22.8,2.3,10.76,21.57,5.8,4.2,2.9,1.3
CA,6001,Alameda County,6001421100,6001421100,0.018,4.1,234243.0,3.1,11.1,3.6,0.0,100.0,8.0,6.3,1.8,1.5
CA,6001,Alameda County,6001421200,6001421200,0.0069,0.3,247171.0,0.0,4.8,2.9,3.22,69.24,9.9,4.6,2.9,0.0
CA,6001,Alameda County,6001421300,6001421300,0.0854,5.5,130500.0,0.9,21.4,3.8,3.96,0.0,9.1,3.9,3.9,0.0
CA,6001,Alameda County,6001421400,6001421400,0.0452,7.5,208500.0,2.1,13.2,4.0,7.47,33.86,11.5,0.0,1.3,1.5
CA,6001,Alameda County,6001421500,6001421500,0.0532,5.8,201950.0,1.6,13.0,2.0,4.35,94.77,8.7,5.4,2.3,1.3
CA,6001,Alameda County,6001421600,6001421600,0.1118,8.8,218390.0,0.2,14.5,3.5,1.16,69.64,10.3,4.6,2.0,0.0
CA,6001,Alameda County,6001421700,6001421700,0.4079,18.2,108339.0,3.5,27.3,13.8,1.19,69.5,12.6,2.0,13.0,4.1
CA,6001,Alameda County,6001421800,6001421800,0.0595,4.9,171168.0,1.2,14.7,6.1,1.21,0.74,9.1,2.9,2.3,1.1
CA,6001,Alameda County,6001421900,6001421900,0.1042,5.1,160063.0,2.5,17.7,10.6,6.18,73.08,7.7,1.5,6.0,2.3
CA,6001,Alameda County,6001422000,6001422000,0.3566,7.8,140331.0,1.1,15.9,10.0,6.31,7.91,13.5,2.2,2.2,1.0
CA,6001,Alameda County,6001422100,6001422100,0.2554,3.3,124583.0,1.5,26.2,9.1,2.1,52.37,13.0,4.6,2.3,1.8
CA,6001,Alameda County,6001422200,6001422200,0.1436,6.4,105750.0,1.8,20.1,11.3,0.38,26.17,7.7,5.2,8.4,1.3
CA,6001,Alameda County,6001422300,6001422300,0.3383,10.4,93750.0,6.5,25.9,23.8,0.67,87.75,7.9,6.8,6.3,2.4
CA,6001,Alameda County,6001422400,6001422400,0.2784,17.2,69717.0,2.5,45.7,33.6,0.72,99.46,10.0,6.2,5.7,1.0
CA,6001,Alameda County,6001422500,6001422500,0.4532,27.2,58558.0,9.5,51.5,21.8,14.38,60.51,6.0,2.8,2.3,2.5
CA,6001,Alameda County,6001422700,6001422700,0.4775,51.1,42417.0,2.3,44.1,38.2,46.09,100.0,10.2,6.9,13.0,0.6
CA,6001,Alameda County,6001422800,6001422800,0.4887,61.6,26056.0,3.5,68.7,71.1,9.5,42.1,6.9,12.8,4.0,0.7
CA,6001,Alameda County,6001422901,6001422901,0.4525,40.5,49604.0,3.0,39.8,43.9,0.0,28.72,5.3,8.2,12.7,3.7
CA,6001,Alameda County,6001422902,6001422902,0.4588,51.6,90230.0,3.7,51.2,50.7,0.0,66.0,8.7,0.0,11.0,1.1
CA,6001,Alameda County,6001423000,6001423000,0.221,10.6,86917.0,1.6,36.8,12.2,0.0,100.0,9.0,4.1,3.0,2.4
CA,6001,Alameda County,6001423100,6001423100,0.717,17.1,61161.0,2.2,41.0,31.3,0.0,21.58,21.9,4.8,7.5,4.1
CA,6001,Alameda County,6001423200,6001423200,0.4725,17.0,80106.0,3.7,36.4,25.2,6.82,23.93,16.6,2.0,11.6,2.9
CA,6001,Alameda County,6001423300,6001423300,0.3894,18.9,83450.0,1.5,34.4,15.8,3.8,98.32,15.8,6.0,7.3,7.3
CA,6001,Alameda County,6001423400,6001423400,0.559,14.6,107455.0,7.3,29.1,14.9,0.48,100.0,11.3,6.4,4.4,6.2
CA,6001,Alameda County,6001423500,6001423500,0.5105,12.7,89728.0,2.7,31.4,23.6,0.0,97.31,10.3,4.0,10.1,2.2
CA,6001,Alameda County,6001423601,6001423601,0.292,11.1,155857.0,5.7,20.5,10.2,2.45,12.38,9.0,7.1,2.5,0.8
CA,6001,Alameda County,6001423602,6001423602,0.4261,50.5,59297.0,1.4,48.2,36.1,10.24,27.34,5.6,7.6,1.6,0.6
CA,6001,Alameda County,6001423700,6001423700,0.2673,16.5,108750.0,1.2,24.7,19.1,13.99,82.28,7.5,5.4,7.6,1.0
CA,6001,Alameda County,6001423800,6001423800,0.0283,7.8,191838.0,3.3,10.6,3.2,0.15,21.41,7.4,3.9,1.3,0.5
CA,6001,Alameda County,6001423901,6001423901,0.3819,8.9,105625.0,2.9,29.1,14.9,4.45,0.0,13.2,5.8,5.9,0.0
CA,6001,Alameda County,6001423902,6001423902,0.2592,16.9,171583.0,1.5,26.1,14.7,0.0,62.46,13.4,4.2,11.4,0.5
CA,6001,Alameda County,6001424001,6001424001,0.6427,16.3,87500.0,2.6,39.7,18.2,0.0,0.0,10.5,10.8,3.8,3.1
CA,6001,Alameda County,6001424002,6001424002,0.5118,7.5,103393.0,5.3,28.6,21.4,4.52,11.65,12.4,9.0,13.3,1.9
CA,6001,Alameda County,6001425101,6001425101,0.3875,6.2,81722.0,8.6,35.6,12.3,1.5,12.9,11.9,5.2,2.5,3.1
CA,6001,Alameda County,6001425102,6001425102,0.1501,6.9,124375.0,4.1,21.2,15.6,0.0,0.0,5.2,1.9,0.9,5.2
CA,6001,Alameda County,6001425103,6001425103,0.1794,9.0,119301.0,3.8,20.2,8.5,5.07,23.89,7.4,9.6,2.0,0.0
CA,6001,Alameda County,6001425104,6001425104,0.3905,22.4,119083.0,1.4,29.1,20.0,0.0,18.0,10.8,3.8,13.2,3.5
CA,6001,Alameda County,6001426100,6001426100,0.0361,1.2,250001.0,0.8,5.4,0.5,1.6,98.55,6.8,3.7,2.2,0.8
CA,6001,Alameda County,6001426200,6001426200,0.0569,6.5,250001.0,0.0,10.0,3.3,2.66,57.47,9.5,6.5,1.6,1.1
CA,6001,Alameda County,6001427100,6001427100,0.0673,1.7,215045.0,0.8,7.9,0.0,1.47,0.0,5.8,6.4,1.2,1.0
CA,6001,Alameda County,6001427200,6001427200,0.5115,6.9,118571.0,4.3,24.6,9.1,0.0,39.43,9.4,5.5,3.9,6.7
CA,6001,Alameda County,6001427300,6001427300,0.3709,10.4,124432.0,2.7,23.5,8.4,0.0,35.47,10.4,2.4,7.0,4.7
CA,6001,Alameda County,6001427600,6001427600,0.658,13.1,91820.0,7.5,33.6,14.3,4.3,21.59,10.7,8.5,17.4,10.2
CA,6001,Alameda County,6001427700,6001427700,0.3012,7.8,120804.0,3.2,25.1,16.8,0.0,58.2,12.4,4.2,3.8,1.5
CA,6001,Alameda County,6001427800,6001427800,0.2159,6.7,132647.0,2.7,33.2,8.8,2.33,15.23,8.7,4.6,9.7,1.3
CA,6001,Alameda County,6001427900,6001427900,0.3282,6.2,108691.0,1.0,26.4,10.7,4.3,63.91,11.9,6.9,5.8,3.9
CA,6001,Alameda County,6001428000,6001428000,0.3585,6.6,90750.0,4.5,33.3,4.0,0.0,99.29,4.5,11.6,2.1,2.5
CA,6001,Alameda County,6001428100,6001428100,0.2163,4.6,155071.0,1.3,11.9,6.1,0.06,63.45,7.2,4.0,5.3,3.2
CA,6001,Alameda County,6001428200,6001428200,0.3259,7.0,103333.0,2.8,37.2,5.5,0.0,0.0,12.4,2.7,6.9,4.4
CA,6001,Alameda County,6001428301,6001428301,0.1164,1.5,191875.0,2.3,10.7,1.3,0.0,39.46,7.3,4.6,2.1,6.6
CA,6001,Alameda County,6001428302,6001428302,0.114,3.5,225500.0,2.9,5.5,2.0,0.0,85.31,7.1,4.8,1.0,3.2
CA,6001,Alameda County,6001428400,6001428400,0.5287,15.0,94231.0,1.8,37.0,6.8,0.0,0.0,7.8,5.4,6.7,4.2
CA,6001,Alameda County,6001428500,6001428500,0.5191,4.5,138571.0,1.0,14.9,9.4,15.13,58.8,12.8,2.0,5.3,5.9
CA,6001,Alameda County,6001428600,6001428600,0.3563,5.3,116833.0,0.6,20.6,6.8,6.62,85.45,9.1,2.3,6.9,7.1
CA,6001,Alameda County,6001428700,6001428700,0.819,15.3,117153.0,5.7,23.1,18.9,18.61,35.5,10.2,7.8,10.0,9.2
CA,6001,Alameda County,6001430101,6001430101,0.0768,6.0,204527.0,4.3,8.0,0.6,2.84,78.48,6.1,5.3,2.6,3.4
CA,6001,Alameda County,6001430102,6001430102,0.0556,5.5,177250.0,0.6,16.2,1.2,7.8,95.69,9.3,2.5,2.5,1.4
CA,6001,Alameda County,6001430200,6001430200,0.3577,5.1,183182.0,4.8,14.8,2.6,7.91,92.9,10.1,5.9,2.6,5.7
CA,6001,Alameda County,6001430300,6001430300,0.178,3.6,169646.0,3.1,10.9,3.4,4.86,100.0,7.7,7.0,5.9,7.5
CA,6001,Alameda County,6001430400,6001430400,0.0262,2.5,206750.0,0.6,3.1,4.1,1.99,100.0,4.6,4.9,5.9,2.2
CA,6001,Alameda County,6001430500,6001430500,0.5295,9.1,99189.0,3.1,19.7,1.5,7.52,100.0,8.0,4.0,6.9,5.6
CA,6001,Alameda County,6001430600,6001430600,0.2507,6.8,144922.0,0.6,16.9,2.9,5.31,97.98,11.8,3.4,1.5,4.8
CA,6001,Alameda County,6001430700,6001430700,0.3981,7.0,115625.0,3.6,28.8,2.3,0.0,39.1,10.9,4.5,3.6,7.3
CA,6001,Alameda County,6001430800,6001430800,0.4487,8.5,98038.0,2.2,28.2,2.7,0.0,41.82,9.2,2.2,11.2,9.6
CA,6001,Alameda County,6001430900,6001430900,0.7883,15.4,105227.0,7.1,32.7,8.8,4.24,17.06,7.9,3.0,9.0,9.9
CA,6001,Alameda County,6001431000,6001431000,0.5778,13.4,87083.0,3.7,25.1,9.8,0.79,19.53,13.3,3.3,4.9,7.2
CA,6001,Alameda County,6001431100,6001431100,0.5123,4.6,98255.0,8.5,29.8,8.2,4.08,36.23,11.0,0.7,6.5,6.1
CA,6001,Alameda County,6001431200,6001431200,0.4845,7.5,106250.0,8.3,30.9,9.7,9.24,33.22,9.8,1.3,8.4,6.1
CA,6001,Alameda County,6001432100,6001432100,0.1038,4.7,172278.0,4.1,15.4,2.4,2.99,13.0,4.1,1.8,9.5,2.0
